City,State,District
1 SGM,Rajasthan,Ganganagar
3 STR,Rajasthan,Ganganagar
A.Thirumuruganpoondi,Tamil Nadu,Coimbatore
A.Vellalapatti,Tamil Nadu,Madurai
Aadityana,Gujarat,Porbandar
Aambaliyasan,Gujarat,Mahesana
Aantaliya,Gujarat,Navsari
Aarambhada,Gujarat,Jamnagar
Abhayapuri,Assam,Bongaigaon
Abiramam,Tamil Nadu,Ramanathapuram
Abohar,Punjab,Firozpur
Abrama,Gujarat,Valsad
Abu Road,Rajasthan,Sirohi
Achabal,Jammu & Kashmir,Anantnag
Achalpur,Maharashtra,Amravati
Achampudur,Tamil Nadu,Tirunelveli
Acharapakkam,Tamil Nadu,Kancheepuram
Acharipallam,Tamil Nadu,Kanniyakumari
Achhalda,Uttar Pradesh,Auraiya
Achhnera,Uttar Pradesh,Agra
Achipatti,Tamil Nadu,Coimbatore
Adalaj,Gujarat,Gandhinagar
Adampur,Punjab,Jalandhar
Adari,Uttar Pradesh,Mau
Adikaratti,Tamil Nadu,The Nilgiris
Adilabad,Andhra Pradesh,Adilabad
Adiramapattinam,Tamil Nadu,Thanjavur
Adityapatna,Karnataka,Tumkur
Adityapur,Jharkhand,Pashchimi Singhbhum
Adoni,Andhra Pradesh,Kurnool
Adoor,Kerala,Pathanamthitta
Adra,West Bengal,Puruliya
Aduthurai alias Maruthuvakudi,Tamil Nadu,Thanjavur
Adyar,Karnataka,Dakshina Kannada
Afzalgarh,Uttar Pradesh,Bijnor
Afzalpur,Karnataka,Gulbarga
Agar,Madhya Pradesh,Shajapur
Agaram,Tamil Nadu,Dindigul
Agartala,Tripura,West Tripura
Agarwal Mandi,Uttar Pradesh,Baghpat
Agastheeswaram,Tamil Nadu,Kanniyakumari
Agra,Uttar Pradesh,Agra
Agra,Uttar Pradesh,Agra
Ahiwara,Chhattisgarh,Durg
Ahmadnagar,Maharashtra,Ahmadnagar
Ahmadnagar,Maharashtra,Ahmadnagar
Ahmadpur,West Bengal,Birbhum
Ahmadpur,Maharashtra,Latur
Ahmedabad,Gujarat,Ahmadabad
Ahmedabad Cantonment,Gujarat,Ahmadabad
Ahmedgarh,Punjab,Sangrur
Ahraura,Uttar Pradesh,Mirzapur
Aiho,West Bengal,Maldah
Ailum,Uttar Pradesh,Muzaffarnagar
Air Force Area,Uttar Pradesh,Gorakhpur
Aistala,West Bengal,Nadia
Aizawl,Mizoram,Aizawl
Ajaigarh,Madhya Pradesh,Panna
Ajhuwa,Uttar Pradesh,Kaushambi
Ajmer,Rajasthan,Ajmer
Ajnala,Punjab,Amritsar
Ajra,Maharashtra,Kolhapur
Akalgarh,Punjab,Ludhiana
Akaltara,Chhattisgarh,Janjgir-Champa
Akathiyoor,Kerala,Thrissur
Akbarpur,Uttar Pradesh,Kanpur Dehat
Akbarpur,Uttar Pradesh,Ambedaker Nagar
Akhnoor,Jammu & Kashmir,Jammu
Akkalkot,Maharashtra,Solapur
Akkarampalle,Andhra Pradesh,Chittoor
Akkayapalle,Andhra Pradesh,Cuddapah
Aklera,Rajasthan,Jhalawar
Akoda,Madhya Pradesh,Bhind
Akodia,Madhya Pradesh,Shajapur
Akola,Maharashtra,Akola
Akot,Maharashtra,Akola
Alagappapuram,Tamil Nadu,Kanniyakumari
Alampalayam,Tamil Nadu,Namakkal
Alampur,Madhya Pradesh,Bhind
Aland,Karnataka,Gulbarga
Alandi,Maharashtra,Pune
Alandur,Tamil Nadu,Kancheepuram
Alang,Gujarat,Bhavnagar
Alanganallur,Tamil Nadu,Madurai
Alangayam,Tamil Nadu,Vellore
Alangudi,Tamil Nadu,Pudukkottai
Alangulam,Tamil Nadu,Virudhunagar
Alangulam,Tamil Nadu,Tirunelveli
Alanthurai,Tamil Nadu,Coimbatore
Alapakkam,Tamil Nadu,Kancheepuram
Alappuzha,Kerala,Alappuzha
Alawalpur,Punjab,Jalandhar
Aldona,Goa,North Goa
Ali Pur,Delhi *,North West
Alibag,Maharashtra,Raigarh
Aliganj,Uttar Pradesh,Etah
Aligarh,Uttar Pradesh,Aligarh
Alipurduar,West Bengal,Jalpaiguri
Alipurduar Rly.Jnc.,West Bengal,Jalpaiguri
Alirajpur,Madhya Pradesh,Jhabua
Allahabad,Uttar Pradesh,Allahabad
Allahabad,Uttar Pradesh,Allahabad
Allahganj,Uttar Pradesh,Shahjahanpur
Allapur,Uttar Pradesh,Budaun
Allapuram,Tamil Nadu,Vellore
Almora,Uttaranchal,Almora
Almora,Uttaranchal,Almora
Alnavar,Karnataka,Dharwad
Along,Arunachal Pradesh,West Siang
Alot,Madhya Pradesh,Ratlam
Alpur,West Bengal,Haora
Alur,Karnataka,Hassan
Alur,Tamil Nadu,Kanniyakumari
Aluva,Kerala,Ernakulam
Alwal,Andhra Pradesh,Rangareddi
Alwar,Rajasthan,Alwar
Alwarkurichi,Tamil Nadu,Tirunelveli
Alwarthirunagiri,Tamil Nadu,Toothukudi
Amadalavalasa,Andhra Pradesh,Srikakulam
Amalapuram,Andhra Pradesh,East Godavari
Amalner,Maharashtra,Jalgaon
Amanganj,Madhya Pradesh,Panna
Amanpur,Uttar Pradesh,Etah
Amarkantak,Madhya Pradesh,Shahdol
Amarpatan,Madhya Pradesh,Satna
Amarpur,Tripura,South Tripura
Amarpur,Bihar,Banka
Amarwara,Madhya Pradesh,Chhindwara
Ambad,Maharashtra,Jalna
Ambada,Madhya Pradesh,Chhindwara
Ambagarh Chowki,Chhattisgarh,Rajnandgaon
Ambah,Madhya Pradesh,Morena
Ambaji,Gujarat,Banas Kantha
Ambala,Haryana,Ambala
Ambala Cantt.,Haryana,Ambala
Ambala Sadar,Haryana,Ambala
Ambarnath,Maharashtra,Thane
Ambasamudram,Tamil Nadu,Tirunelveli
Ambassa,Tripura,Dhalai
Ambattur,Tamil Nadu,Thiruvallur
Ambehta,Uttar Pradesh,Saharanpur
Ambejogai,Maharashtra,Bid
Ambikanagara,Karnataka,Uttara Kannada
Ambikapur,Chhattisgarh,Surguja
Ambikapur Part-X,Assam,Cachar
Ambivali Tarf Wankhal,Maharashtra,Raigarh
Ambur,Tamil Nadu,Vellore
Amet,Rajasthan,Rajsamand
Amethi,Uttar Pradesh,Lucknow
Amethi,Uttar Pradesh,Sultanpur
Amguri,Assam,Sibsagar
Amila,Uttar Pradesh,Mau
Amilo,Uttar Pradesh,Azamgarh
Aminagar Sarai,Uttar Pradesh,Baghpat
Aminagar Urf Bhurbaral,Uttar Pradesh,Meerut
Amini,Lakshadweep *,Lakshadweep
Amkula,West Bengal,Barddhaman
Amla,Madhya Pradesh,Betul
Amlabad,Jharkhand,Bokaro
Amlai,Madhya Pradesh,Shahdol
Amli,Dadra & Nagar Haveli *,Dadra & Nagar Haveli
Amloh,Punjab,Fatehgarh Sahib
Ammainaickanur,Tamil Nadu,Dindigul
Ammapettai,Tamil Nadu,Erode
Ammapettai,Tamil Nadu,Thanjavur
Ammavarikuppam,Tamil Nadu,Thiruvallur
Ammoor,Tamil Nadu,Vellore
Amodghata,West Bengal,Hugli
Amraudha,Uttar Pradesh,Kanpur Dehat
Amravati,Maharashtra,Amravati
Amreli,Gujarat,Amreli
Amritsar,Punjab,Amritsar
Amritsar Cantt.,Punjab,Amritsar
Amroha,Uttar Pradesh,Jyotiba Phule Nagar
Amtala,West Bengal,South Twentyfour Parganas
Anaimalai,Tamil Nadu,Coimbatore
Anaiyur,Tamil Nadu,Madurai
Anaiyur,Tamil Nadu,Virudhunagar
Anakapalle,Andhra Pradesh,Visakhapatnam
Anakaputhur,Tamil Nadu,Kancheepuram
Anand,Gujarat,Anand
Anand Nagar,Assam,Dhubri
Anandapur,Orissa,Kendujhar
Anandnagar,Uttar Pradesh,Maharajganj
Anandpur Sahib,Punjab,Rupnagar
Anantapur,Andhra Pradesh,Anantapur
Ananthapuram,Tamil Nadu,Viluppuram
Anantnag,Jammu & Kashmir,Anantnag
Ancharakandy,Kerala,Kannur
Andada,Gujarat,Bharuch
Andipalayam,Tamil Nadu,Coimbatore
Andipatti Jakkampatti,Tamil Nadu,Theni
Andro,Manipur,Imphal East
Andul,West Bengal,Haora
Anekal,Karnataka,Bangalore
Angamaly,Kerala,Ernakulam
Angarpathar,Jharkhand,Dhanbad
Anjad,Madhya Pradesh,Barwani
Anjangaon,Maharashtra,Amravati
Anjar,Gujarat,Kachchh
Anjugramam,Tamil Nadu,Kanniyakumari
Anklav,Gujarat,Anand
Anklesvar,Gujarat,Bharuch
Anklesvar INA,Gujarat,Bharuch
Ankola,Karnataka,Uttara Kannada
Anksa,West Bengal,Barddhaman
Ankurhati,West Bengal,Haora
Annamalai Nagar,Tamil Nadu,Cuddalore
Annavasal,Tamil Nadu,Pudukkottai
Annigeri,Karnataka,Dharwad
Annur,Tamil Nadu,Coimbatore
Anpara,Uttar Pradesh,Sonbhadra
Antah,Rajasthan,Baran
Antari,Madhya Pradesh,Gwalior
Anthiyur,Tamil Nadu,Erode
Antu,Uttar Pradesh,Pratapgarh
Anugul,Orissa,Anugul
Anup Nagar,West Bengal,Murshidabad
Anupgarh,Rajasthan,Ganganagar
Anuppur,Madhya Pradesh,Shahdol
Anupshahr,Uttar Pradesh,Bulandshahr
Aonla,Uttar Pradesh,Bareilly
Appakudal,Tamil Nadu,Erode
Aquem,Goa,South Goa
Ara,Jharkhand,Hazaribag
Arachalur,Tamil Nadu,Erode
Arakandanallur,Tamil Nadu,Viluppuram
Arakonam,Tamil Nadu,Vellore
Aralvaimozhi,Tamil Nadu,Kanniyakumari
Arambag,West Bengal,Hugli
Arang,Chhattisgarh,Raipur
Arani,Tamil Nadu,Thiruvallur
Arani,Tamil Nadu,Tiruvanamalai
Aranthangi,Tamil Nadu,Pudukkottai
Araria,Bihar,Araria
Arasiramani,Tamil Nadu,Salem
Aravakurichi,Tamil Nadu,Kapur
Aravankad,Tamil Nadu,The Nilgiris
Arcot,Tamil Nadu,Vellore
Areraj,Bihar,Purba Champaran
Argari,West Bengal,Haora
Arimalam,Tamil Nadu,Pudukkottai
Ariyalur,Tamil Nadu,Ariyalur
Ariyappampalayam,Tamil Nadu,Erode
Ariyur,Tamil Nadu,Vellore
Arkalgud,Karnataka,Hassan
Arki,Himachal Pradesh,Solan
Armapur Estate,Uttar Pradesh,Kanpur Nagar
Arnia,Jammu & Kashmir,Jammu
Aron,Madhya Pradesh,Guna
Arookutty,Kerala,Alappuzha
Aroor,Kerala,Alappuzha
Arra,West Bengal,Puruliya
Arrah,Bihar,Bhojpur
Arsikere,Karnataka,Hassan
Arumanai,Tamil Nadu,Kanniyakumari
Arumbavur,Tamil Nadu,Perambalur
Arumuganeri,Tamil Nadu,Toothukudi
Aruppukkottai,Tamil Nadu,Virudhunagar
Arvi,Maharashtra,Wardha
Asan Khurd,Haryana,Panipat
Asansol,West Bengal,Barddhaman
Asarganj,Bihar,Munger
Ashok Nagar,Madhya Pradesh,Guna
Ashokapuram,Tamil Nadu,Coimbatore
Ashoknagar Kalyangarh,West Bengal,North Twentyfour Parganas
Ashrafpur Kichhauchha,Uttar Pradesh,Ambedaker Nagar
Ashta,Madhya Pradesh,Sehore
Ashta,Maharashtra,Sangli
Asifabad,Andhra Pradesh,Adilabad
Asika,Orissa,Ganjam
Asind,Rajasthan,Bhilwara
Asola,Delhi *,South
Assandh,Haryana,Karnal
Atarra,Uttar Pradesh,Banda
Atasu,Uttar Pradesh,Auraiya
Ateli,Haryana,Mahendragarh
Athagad,Orissa,Cuttack
Athani,Tamil Nadu,Erode
Athanur,Tamil Nadu,Namakkal
Athimarapatti,Tamil Nadu,Toothukudi
Athipattu,Tamil Nadu,Thiruvallur
Athmallik,Orissa,Anugul
Athni,Karnataka,Belgaum
Athur,Tamil Nadu,Toothukudi
Athur,Tamil Nadu,Kanniyakumari
Atrauli,Uttar Pradesh,Aligarh
Atraulia,Uttar Pradesh,Azamgarh
Attayampatti,Tamil Nadu,Salem
Attingal,Kerala,Thiruvananthapuram
Attur,Tamil Nadu,Salem
Atul,Gujarat,Valsad
Aurad,Karnataka,Bidar
Auraiya,Uttar Pradesh,Auraiya
Aurangabad,West Bengal,Murshidabad
Aurangabad,Uttar Pradesh,Bulandshahr
Aurangabad,Maharashtra,Aurangabad
Aurangabad,Maharashtra,Aurangabad
Aurangabad,Bihar,Aurangabad
Aurangabad Bangar,Uttar Pradesh,Mathura
Auras,Uttar Pradesh,Unnao
Ausa,Maharashtra,Latur
Avadattur,Tamil Nadu,Salem
Avadi,Tamil Nadu,Thiruvallur
Avalpoondurai,Tamil Nadu,Erode
Avanashi,Tamil Nadu,Coimbatore
Avaniapuram,Tamil Nadu,Madurai
Avinissery,Kerala,Thrissur
Awagarh,Uttar Pradesh,Etah
Awantipora,Jammu & Kashmir,Pulwama
Ayakudi,Tamil Nadu,Dindigul
Aygudi,Tamil Nadu,Tirunelveli
Ayodhya,Uttar Pradesh,Faizabad
Ayothiapattinam,Tamil Nadu,Salem
Ayyalur,Tamil Nadu,Dindigul
Ayyampalayam,Tamil Nadu,Dindigul
Ayyampettai,Tamil Nadu,Kancheepuram
Ayyampettai,Tamil Nadu,Thanjavur
Azamgarh,Uttar Pradesh,Azamgarh
Azhagiapandiapuram,Tamil Nadu,Kanniyakumari
Azhikode North,Kerala,Kannur
Azhikode South,Kerala,Kannur
Azizpur,Uttar Pradesh,Agra
Azmatgarh,Uttar Pradesh,Azamgarh
B. Mallapuram,Tamil Nadu,Dharmapuri
B. Meenakshipuram,Tamil Nadu,Theni
Babai,Madhya Pradesh,Hoshangabad
Babar Pur,Delhi *,North East
Babarpur Ajitmal,Uttar Pradesh,Auraiya
Baberu,Uttar Pradesh,Banda
Babhulgaon,Maharashtra,Hingoli
Babina,Uttar Pradesh,Jhansi
Babiyal,Haryana,Ambala
Bablari Dewanganj,West Bengal,Nadia
Babrala,Uttar Pradesh,Budaun
Babua Kalan,Jharkhand,Dhanbad
Babugarh,Uttar Pradesh,Ghaziabad
Bachhraon,Uttar Pradesh,Jyotiba Phule Nagar
Bachhrawan,Uttar Pradesh,Rae Bareli
Bad,Uttar Pradesh,Mathura
Bada Malhera,Madhya Pradesh,Chhatarpur
Badagaon,Madhya Pradesh,Tikamgarh
Badagoan,Madhya Pradesh,Shajapur
Badami,Karnataka,Bagalkot
Badami Bagh,Jammu & Kashmir,Srinagar
Badarpur,Assam,Karimganj
Badarpur Rly Town,Assam,Karimganj
Badarwas,Madhya Pradesh,Shivpuri
Badawada,Madhya Pradesh,Ratlam
Baddi,Himachal Pradesh,Solan
Bade Bacheli,Chhattisgarh,Dantewada
Badepalle,Andhra Pradesh,Mahbubnagar
Badgam,Jammu & Kashmir,Badgam
Badhagachhi,West Bengal,Hugli
Badharghat,Tripura,West Tripura
Badhni Kalan,Punjab,Moga
Badi,Madhya Pradesh,Raisen
Badkuhi,Madhya Pradesh,Chhindwara
Badlapur,Maharashtra,Thane
Badnagar,Madhya Pradesh,Ujjain
Badnawar,Madhya Pradesh,Dhar
Badod,Madhya Pradesh,Shajapur
Badoda,Madhya Pradesh,Sheopur
Badra,Madhya Pradesh,Shahdol
Badrinathpuri,Uttaranchal,Chamoli
Baduria,West Bengal,North Twentyfour Parganas
Bagaha,Bihar,Pashchim Champaran
Bagalkot,Karnataka,Bagalkot
Bagasara,Gujarat,Amreli
Bagbahara,Chhattisgarh,Mahasamund
Bagbera,Jharkhand,Purbi Singhbhum
Bagepalli,Karnataka,Kolar
Bageshwar,Uttaranchal,Bageshwar
Baggar,Rajasthan,Jhunjhunun
Bagh,Madhya Pradesh,Dhar
Bagha Purana,Punjab,Moga
Baghmara,Meghalaya,South Garo Hills
Baghpat,Uttar Pradesh,Baghpat
Bagli,Madhya Pradesh,Dewas
Bagnan,West Bengal,Haora
Bagru,Rajasthan,Jaipur
Bah,Uttar Pradesh,Agra
Bahadurganj,Bihar,Kishanganj
Bahadurganj,Uttar Pradesh,Ghazipur
Bahadurgarh,Haryana,Jhajjar
Baharampur,West Bengal,Murshidabad
Bahbari Gaon,Assam,Tinsukia
Baheri,Uttar Pradesh,Bareilly
Bahirgram,West Bengal,Medinipur
Bahjoi,Uttar Pradesh,Moradabad
Bahraich,Uttar Pradesh,Bahraich
Bahsuma,Uttar Pradesh,Meerut
Bahula,West Bengal,Barddhaman
Bahuwa,Uttar Pradesh,Fatehpur
Baidyabati,West Bengal,Hugli
Baihar,Madhya Pradesh,Balaghat
Baikunthpur,Chhattisgarh,Koriya
Baikunthpur,Madhya Pradesh,Rewa
Bail Hongal,Karnataka,Belgaum
Bairabi,Mizoram,Kolasib
Bairatisal,West Bengal,Darjiling
Bairgania,Bihar,Sitamarhi
Bajala,Karnataka,Dakshina Kannada
Bajna,Uttar Pradesh,Mathura
Bajpe,Karnataka,Dakshina Kannada
Bajpur,Uttaranchal,Udham Singh Nagar
Bajva,Gujarat,Vadodara
Bakani,Rajasthan,Jhalawar
Bakewar,Uttar Pradesh,Etawah
Bakhtiarpur,Bihar,Patna
Bakiabad,Uttar Pradesh,Mirzapur
Bakloh,Himachal Pradesh,Chamba
Balachaur,Punjab,Nawanshahr
Balaghat,Madhya Pradesh,Balaghat
Balagoda (Bolani),Orissa,Kendujhar
Balakrishnampatti,Tamil Nadu,Tiruchirappalli
Balakrishnapuram,Tamil Nadu,Dindigul
Balangir,Orissa,Balangir
Balapallam,Tamil Nadu,Kanniyakumari
Balapur,Maharashtra,Akola
Balaram Pota,West Bengal,Haora
Balarampur,West Bengal,Puruliya
Balarampur,West Bengal,South Twentyfour Parganas
Balasamudram,Tamil Nadu,Dindigul
Balasinor,Gujarat,Kheda
Baldeo,Uttar Pradesh,Mathura
Baldeogarh,Madhya Pradesh,Tikamgarh
Baleshwar,Orissa,Baleshwar
Bali,Rajasthan,Pali
Baliari,Jharkhand,Dhanbad
Balichak,West Bengal,Medinipur
Balimela,Orissa,Malkangiri
Balkundra,Jharkhand,Hazaribag
Ballarpur,Maharashtra,Chandrapur
Ballavpur,West Bengal,Barddhaman
Ballia,Uttar Pradesh,Ballia
Bally,West Bengal,Haora
Bally,West Bengal,Haora
Balod,Chhattisgarh,Durg
Baloda,Chhattisgarh,Janjgir-Champa
Baloda Bazar,Chhattisgarh,Raipur
Balotra,Rajasthan,Barmer
Balrampur,Uttar Pradesh,Balrampur
Balugaon,Orissa,Khordha
Balurghat,West Bengal,Dakshin Dinajpur
Bambolim,Goa,North Goa
Bamhani,Madhya Pradesh,Mandla
Bamor,Madhya Pradesh,Morena
Bamora,Madhya Pradesh,Sagar
Bamun Sualkuchi,Assam,Kamrup
Bamunari,West Bengal,Hugli
Banapur,Orissa,Khordha
Banarhat Tea Garden,West Bengal,Jalpaiguri
Banarsi,Chhattisgarh,Raipur
Banat,Uttar Pradesh,Muzaffarnagar
Banaur,Punjab,Patiala
Banbasa,Uttaranchal,Champawat
Banda,Madhya Pradesh,Sagar
Banda,Uttar Pradesh,Banda
Bandarulanka,Andhra Pradesh,East Godavari
Bandhgora,Jharkhand,Bokaro
Bandia,Uttaranchal,Udham Singh Nagar
